user_id,item_id,category_id,behavior_type,timestamp
1000085,280390,2633883,buy,1511771239
1000085,327684,794153,buy,1512131522
1000296,2596189,1297992,buy,1512100060
100030,341797,965809,buy,1511626467
1000488,3339260,982926,buy,1511780214
1000723,4246902,1691699,buy,1512140674
100088,4468878,226943,buy,1511740456
10009,1415565,2617994,buy,1511966610
1001009,3711601,1691699,buy,1512012492
1001048,1995682,1539964,buy,1512277939
1001054,3887165,2558244,buy,1511956399
100116,4098455,5071267,buy,1511783624
1001199,206417,2735466,buy,1511845263
1001711,4781162,411153,buy,1511920982
1001769,1910706,1516409,buy,1511683397
1001921,1951401,3975787,buy,1512314429
100215,3636634,4756105,buy,1512188354
1002208,4823575,2640118,buy,1512270997
1002254,2579282,2606924,buy,1511836603
1002260,35000,4308141,buy,1512111908
1002388,2066677,4217906,buy,1512134623
1002392,2923352,3164069,buy,1511783275
1002413,3411306,2735466,buy,1511704357
1002449,3474963,1008362,buy,1512207881
1002587,2142712,3738615,buy,1512112778
100261,4771138,4756105,buy,1511960660
1003044,1108920,1898686,buy,1511965663
1003065,4903917,2157356,buy,1512037967
1003157,4527089,2735466,buy,1512050271
1003176,927036,3046547,buy,1512205793
1003428,3256426,3738615,buy,1512204178
1003716,3602299,1448912,buy,1512306203
1003846,4435071,2880419,buy,1512130312
100388,4378389,4119922,buy,1512181324
1003983,3152425,4138583,buy,1511687461
1004075,2470351,182615,buy,1512177244
1004082,4183511,989763,buy,1512315764
1004165,3859115,4159072,buy,1511862221
1004201,2082917,2877672,buy,1511700073
1004463,2221366,3604509,buy,1511854893
10045,4077586,558667,buy,1512128706
100451,771658,4654786,buy,1511662712
1004726,1128620,4763051,buy,1512008780
1005055,2148105,4357323,buy,1511755070
1005259,2857833,4159072,buy,1512240683
1005345,3845514,1464116,buy,1511622092
100561,856612,1548278,buy,1512182535
1005807,855702,2728585,buy,1512018037
1005945,3778596,5053508,buy,1511695921
1006003,4695225,2733371,buy,1512084941
1006097,1111634,1678374,buy,1511761661
1006262,1042062,4688770,buy,1511843528
1006543,2238605,2735466,buy,1512111884
1006553,3695874,4065220,buy,1511840850
1006582,1117829,1023710,buy,1511624972
1006597,238687,2174838,buy,1511541514
1006597,1363188,4731191,buy,1512055822
1006601,1254406,4357323,buy,1511620607
1006754,5145200,4462359,buy,1512010596
1006935,3297188,2297500,buy,1511693830
1007035,1287867,4217906,buy,1511864605
1007035,3174859,1216617,buy,1511993006
1007035,4978060,590997,buy,1512196832
1007112,4256513,3538575,buy,1512293673
1007724,4514576,1462446,buy,1512138547
1007755,362382,4217906,buy,1511580802
1007870,4504354,2156156,buy,1511935895
100821,1495236,1051370,buy,1512312760
1008212,676758,3530487,buy,1512133818
1008212,936801,1884568,buy,1512311999
1008275,2951254,4170419,buy,1511661672
1008380,3912086,901282,buy,1511859171
1008489,1543559,982926,buy,1511605495
1008883,733290,982926,buy,1511759776
1009070,2610385,883960,buy,1511859616
1009129,2213501,3354571,buy,1512284273
1009405,3512401,1379146,buy,1511805255
1009410,4042395,1286537,buy,1512021598
1009533,1377306,4159072,buy,1511843941
1009822,4997472,3607361,buy,1512262692
1009832,781454,4217906,buy,1511839512
101003,223790,1464116,buy,1512024516
1010040,2919759,235534,buy,1512280568
1010219,2154700,366112,buy,1512228836
1010327,2719006,2355072,buy,1511585930
1010343,3525595,3607361,buy,1512047745
1010453,4581784,3231625,buy,1511801178
1010478,592924,2520377,buy,1512059156
1010919,2628374,3864364,buy,1511956523
101092,4691545,3598912,buy,1511942721
1011419,4378991,3209590,buy,1511791727
1011521,3268071,2225310,buy,1512018735
1011789,4583524,910741,buy,1512100366
1011937,2835688,800190,buy,1512040647
1012062,306515,1575622,buy,1511672881
1012105,686155,280472,buy,1511956917
101231,395399,1320293,buy,1511921153
1012338,1439010,4558987,buy,1511852360
1012338,1560167,2572604,buy,1512044268
1012498,5134667,55312,buy,1512186425
1012501,3868666,4391936,buy,1511929602
1012661,2984153,2436637,buy,1511703153
101296,4008550,3461439,buy,1511563992
1013004,2751559,1080785,buy,1511771310
101312,5083191,3002561,buy,1512206979
1013171,1235827,4357323,buy,1512052828
1013202,4549983,2081312,buy,1512082161
1013343,2375166,323851,buy,1512010889
1013364,2988047,2735466,buy,1512096012
1013376,4804980,1787510,buy,1511803854
1013381,863447,5063923,buy,1512274270
1013709,381452,1575622,buy,1512040983
1014048,809790,4756105,buy,1511856913
1014064,4412964,285583,buy,1511834566
1014237,3969242,381850,buy,1511672869
1014449,4570130,376837,buy,1512025293
101457,3519061,1301428,buy,1511964404
1014896,1034078,1464116,buy,1512227059
1014917,265242,1368970,buy,1511932279
1015075,2504765,1029459,buy,1512118494
101515,1595190,1573426,buy,1512155151
1015219,1943653,4602841,buy,1512050524
1015328,1042769,957119,buy,1511863533
1015408,3087107,4719814,buy,1511940447
1015545,1327228,1689352,buy,1511710971
1015578,3535363,4672807,buy,1511701919
1015754,3272732,1493787,buy,1512259914
1015852,3117876,3607361,buy,1512057476
1015988,12012,2735466,buy,1512087879
1016293,3465586,411153,buy,1512025584
1016304,2390768,4911958,buy,1512099249
1016357,3016119,1046047,buy,1511600190
1016357,2804006,3829421,buy,1512316610
1016582,2859216,381850,buy,1511680285
101660,2767503,3975787,buy,1511562488
101678,3641579,2640118,buy,1511692272
1017543,3615091,283996,buy,1511901451
1017860,851207,4550135,buy,1512272644
1017904,4733113,2013864,buy,1511964869
101797,3550628,4173315,buy,1511584461
101797,2063845,5048062,buy,1511942992
101896,4550501,500212,buy,1511859214
102050,3032531,856718,buy,1512150405
102294,2599195,4174942,buy,1512271133
102574,4036916,4217906,buy,1511907677
102742,564499,2640118,buy,1512106701
102879,2346590,3232473,buy,1512289970
103005,1213149,2924150,buy,1512109417
103143,1820373,381850,buy,1512306390
10321,4002639,1787510,buy,1511760380
103540,4218657,5053508,buy,1511786146
103627,436477,4145813,buy,1511964310
10396,1406896,64179,buy,1511937429
10396,2601214,1722855,buy,1512205815
104252,2023751,2158079,buy,1511927643
104356,2402579,2629787,buy,1512316566
104363,3594765,2561712,buy,1511916578
104587,4374393,3695050,buy,1512032463
104785,4726674,4285553,buy,1512028414
104807,426759,1464116,buy,1512056833
104811,503784,1994940,buy,1511674943
104917,4636542,3102560,buy,1511595572
105027,3222811,1320293,buy,1511712002
105341,4449808,903809,buy,1511784287
105455,552868,1528133,buy,1511709619
105757,4094331,2529187,buy,1512029471
105796,2835407,2520377,buy,1511768720
106286,1079005,2355072,buy,1512054742
106395,468606,1474371,buy,1512292683
106518,3379686,1842993,buy,1511921296
10681,1429790,1595193,buy,1511697663
107025,4489434,846990,buy,1512270324
107029,4352587,1834026,buy,1512189507
107205,4016397,1787510,buy,1511582226
107243,2312248,1299190,buy,1512212172
107389,1014006,3702593,buy,1511650980
107628,1839836,800190,buy,1511795977
107679,5116186,2360985,buy,1511961889
107723,3554155,4758477,buy,1511609037
